SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,OCCUPATION_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_ID_PUBLISH,HOUR_APPR_PROCESS_START,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21
100000,0,Cash loans,F,Y,Y,1,216703,777974,37624,Commercial associate,Secondary / secondary special,Civil marriage,Rented apartment,Laborers,-13968,-3724,-5094,2,1,3,0.4262977174034259,0.7477005140130896,0.20784372141964902,4,2,2,3,0,5,0,0,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,1,1,1
100001,1,Cash loans,M,N,N,2,290069,323332,16823,Working,Higher education,Single,House / apartment,,-15493,-5038,-5402,12,2,1,0.44233545805021546,0.23410266497064058,0.8134068935646797,2,1,3,3,0,2,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1,0,0,1,0,0
100002,0,Cash loans,M,N,N,0,273131,825836,28489,Commercial associate,Higher education,Married,Rented apartment,Laborers,-12103,-5517,-3979,5,2,1,0.668670884897893,0.05992515532108145,0.7428312764656902,3,3,1,3,2,3,0,1,1,1,0,0,1,0,1,0,1,0,1,1,1,1,1,1,0,1
100003,0,Revolving loans,M,Y,N,1,81348,873319,49961,Working,Secondary / secondary special,Married,Rented apartment,Core staff,-10076,-6104,-1635,12,2,2,0.3154163912586835,0.5175994650538077,0.6615910659592654,2,4,2,2,0,2,0,1,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0
100004,0,Cash loans,M,Y,N,1,245804,423064,39118,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,,-10994,-8981,-177,22,2,1,0.6825992797813054,0.1244342079467552,0.2363365902687512,2,1,4,1,4,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
100005,1,Cash loans,M,Y,Y,2,313321,587510,32263,Commercial associate,Secondary / secondary special,Single,Rented apartment,Laborers,-11744,-10914,-2931,19,3,1,0.8714885417573883,0.9621958762779913,0.09785700271645004,4,4,4,2,4,9,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0
100006,0,Revolving loans,F,N,N,0,185832,163530,23565,Working,Secondary / secondary special,Civil marriage,Rented apartment,Managers,-22466,-5703,-3510,19,2,1,0.23748604236219983,0.2899247626330286,0.5761593298259662,3,1,4,0,3,8,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,1,0,1,1,0
100007,0,Cash loans,M,N,Y,1,344923,529440,30354,Commercial associate,Incomplete higher,Married,Rented apartment,Drivers,-22523,-2312,-2821,11,2,1,0.9789195561198998,0.8529442033842931,0.5536778335394333,0,4,0,1,3,0,1,1,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1,0
100008,0,Revolving loans,F,N,Y,3,333780,369932,52951,Pensioner,Incomplete higher,Single,House / apartment,Drivers,-13594,-6220,-3727,12,1,3,0.38636813713680696,0.3876246252024593,0.188385009334873,3,1,3,3,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,1
100009,1,Revolving loans,F,N,Y,3,131889,652370,33648,Pensioner,Secondary / secondary special,Single,Rented apartment,Managers,-15531,-5918,-1632,1,3,1,0.26725868514706175,0.32319424985737744,0.056246694315172485,0,4,2,4,3,7,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1
